eval_set,run,run_label,seed,diversity,best_at_3,best_at_5,best_at_10,best_at_30
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4244,1.1415872993923368,0.0,0.0,0.75,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4245,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4246,1.6971428575969878,0.75,0.75,0.75,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4247,0.8209523745945522,0.0,0.0,0.6875,0.699999988079071
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4248,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4249,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4250,1.554285717010498,0.75,0.75,0.75,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4251,0.5714285714285714,0.0,0.0,0.0,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4252,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4253,1.3428571428571427,0.75,0.75,0.75,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4254,1.4266666548592704,0.75,0.75,0.75,0.75
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4255,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4256,0.9980952421824137,0.3333333432674408,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,adam_multirlvr,AdamW Multi-RLVR,4257,1.572698400134132,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,adam_vpo,AdamW VPO,4242,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4243,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4244,1.5504761832101004,0.0,0.75,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4245,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4246,0.8619047596341087,0.0,0.0,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4247,1.0790476072402226,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,adam_vpo,AdamW VPO,4248,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4249,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4250,1.417142847606114,0.0,0.75,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4251,1.3695237977164132,0.75,0.75,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4252,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4253,1.3904761904761904,0.0,0.0,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4254,1.649523789542062,0.75,0.75,0.75,0.75
min5_eval,adam_vpo,AdamW VPO,4255,0.0,0.0,0.0,0.0,0.0
min5_eval,adam_vpo,AdamW VPO,4256,0.820317454565139,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,adam_vpo,AdamW VPO,4257,1.6590475990658715,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,muon_multirlvr,Muon Multi-RLVR,4242,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4243,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4244,0.8622222207841419,0.75,0.75,0.75,0.75
min5_eval,muon_multirlvr,Muon Multi-RLVR,4245,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4246,1.3619047596341087,0.0,0.75,0.75,0.75
min5_eval,muon_multirlvr,Muon Multi-RLVR,4247,0.8209523745945522,0.0,0.0,0.699999988079071,0.699999988079071
min5_eval,muon_multirlvr,Muon Multi-RLVR,4248,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4249,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4250,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4251,0.37333332697550453,0.0,0.0,0.699999988079071,0.699999988079071
min5_eval,muon_multirlvr,Muon Multi-RLVR,4252,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4253,0.4,0.0,0.0,0.75,0.75
min5_eval,muon_multirlvr,Muon Multi-RLVR,4254,0.4,0.75,0.75,0.75,0.75
min5_eval,muon_multirlvr,Muon Multi-RLVR,4255,0.0,0.0,0.0,0.0,0.0
min5_eval,muon_multirlvr,Muon Multi-RLVR,4256,0.5257142850330898,0.0,0.0,0.699999988079071,0.699999988079071
min5_eval,muon_multirlvr,Muon Multi-RLVR,4257,1.0599999881926037,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4242,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4243,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4244,0.8622222207841419,0.0,0.0,0.75,0.75
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4245,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4246,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4247,0.8,0.6875,0.6875,0.6875,0.6875
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4248,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4249,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4250,0.37333332697550453,0.0,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4251,0.2,0.375,0.375,0.375,0.375
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4252,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4253,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4254,0.2,0.0,0.0,0.0,0.375
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4255,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4256,0.40126986219769434,0.0,0.0,0.3333333432674408,0.46666666865348816
min5_eval,soft_muon_multirlvr,Soft-Muon Multi-RLVR,4257,0.37333332697550453,0.0,0.699999988079071,0.699999988079071,0.699999988079071
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4242,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4243,0.0,0.0,0.0,0.0,0.0
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4244,1.4730158624194918,0.75,0.75,0.75,0.75
min5_eval,soft_muon_p05_multirlvr,Soft-Muon p=0.5,4245,0.0,0.0,0.0,0.0,0.0
